pokedex_number,name,abilities,generation,classfication,is_legendary,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,defense,experience_growth,hp,sp_attack,sp_defense,speed,type1
1,Bulbasaur,"['Overgrow', 'Chlorophyll']",1,Seed Pokemon,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,49,5120,70,318,45,49,1059860,45,65,65,45,grass
2,Ivysaur,"['Overgrow', 'Chlorophyll']",1,Seed Pokemon,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,62,5120,70,405,45,63,1059860,60,80,80,60,grass
3,Venusaur,"['Overgrow', 'Chlorophyll']",1,Seed Pokemon,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,100,5120,70,625,45,123,1059860,80,122,120,80,grass
4,Charmander,"['Blaze', 'Solar Power']",1,Lizard Pokemon,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,5120,70,309,45,43,1059860,39,60,50,65,fire
5,Charmeleon,"['Blaze', 'Solar Power']",1,Flame Pokemon,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,5120,70,405,45,58,1059860,58,80,65,80,fire
6,Charizard,"['Blaze', 'Solar Power']",1,Flame Pokemon,0,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,104,5120,70,634,45,78,1059860,78,159,115,100,fire
7,Squirtle,"['Torrent', 'Rain Dish']",1,Tiny Turtle Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,48,5120,70,314,45,65,1059860,44,50,64,43,water
8,Wartortle,"['Torrent', 'Rain Dish']",1,Turtle Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,63,5120,70,405,45,80,1059860,59,65,80,58,water
9,Blastoise,"['Torrent', 'Rain Dish']",1,Shellfish Pokemon,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,103,5120,70,630,45,120,1059860,79,135,115,78,water
10,Caterpie,"['Shield Dust', 'Run Away']",1,Worm Pokemon,0,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,30,3840,70,195,255,35,1000000,45,20,20,45,bug
11,Metapod,['Shed Skin'],1,Cocoon Pokemon,0,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,20,3840,70,205,120,55,1000000,50,25,25,30,bug
