Sample No,ATP5PF,ATP6V0E1,PIGX,SPCS1,GABARAPL2,DDT,SDR
Co0239,0.094,0.399,0.004,0.146,0.131,0.107,1
Co0279,0.216,0.486,0.006,0.616,0.311,0.14,1
Co0371,0.05,0.16,0.005,0.058,0.053,0.028,1
Co0454,0.059,0.321,0.001,0.103,0.129,0.089,1
TDM0125,0.155,0.625,0.008,0.259,0.209,0.244,1
TDM0145,0.093,0.612,0.003,0.172,0.218,0.179,1
KMUH0002,0.134,0.489,0.008,0.219,0.201,0.107,1
KMUH0039,0.094,0.417,0.006,0.118,0.125,0.084,1
KMUH0039,0.059,0.271,0.003,0.076,0.092,0.062,1
KMUH0044,0.137,0.583,0.006,0.142,0.2,0.097,1
KMUH0080,0.116,0.569,0.004,0.167,0.187,0.141,1
TDM0221,0.106,0.336,0.005,0.117,0.195,0.147,1
KMHK0023,0.058,0.282,0.003,0.051,0.109,0.101,1
KMUH0419,0.184,0.946,0.008,0.281,0.313,0.266,1
TDM0385,0.139,0.426,0.01,0.196,0.207,0.098,1
TDM0388,0.097,0.5,0.01,0.149,0.122,0.115,1
TDM0414,0.121,0.689,0.006,0.138,0.164,0.078,1
KMUH0479,0.045,0.286,0.003,0.065,0.067,0.057,1
KMUH0482,0.055,0.261,0.003,0.097,0.089,0.079,1
TDM0429,0.047,0.115,0.003,0.045,0.039,0.021,1
P0159,0.284,0.564,0.01,0.091,0.239,0.229,1
KMTH0218,0.068,0.24,0.004,0.095,0.093,0.078,1
KMUH0597,0.238,0.73,0.015,0.306,0.238,0.182,1
P0205,0.112,0.373,0.007,0.16,0.147,0.092,1
KMUH0634,0.115,0.445,0.006,0.147,0.171,0.133,1
1HP0019,0.146,0.573,0.011,0.217,0.182,0.14,1
1HP0023,0.036,0.166,0.002,0.064,0.049,0.045,1
KMUH0681,0.074,0.326,0.007,0.127,0.11,0.086,1
1HP0054,0.097,0.503,0.009,0.149,0.155,0.088,1
Co0225,0.02,0.073,0.002,0.02,0.02,0.015,0
Co0423,0.026,0.089,0.002,0.028,0.001,0.003,0
Co0465,0.002,0.043,0.001,0.004,0.004,0.004,0
Co0491,0.004,0.03,0,0.005,0.005,0.005,0
TDM0004,0.002,0.021,0,0.001,0.031,0.02,0
TDM0011,0.003,0.027,0,0.005,0.003,0.005,0
TDM0012,0.115,0.209,0.005,0.131,0.102,0.129,0
TDM0017,0.041,0.099,0.002,0.049,0.08,0.089,0
TDM0052,0.068,0.289,0.003,0.086,0.094,0.079,0
TDM0083,0.003,0.046,0,0.004,0.004,0.007,0
TDM0088,0.022,0.09,0.001,0.03,0.017,0.036,0
TDM0111,0.115,0.237,0.002,0.137,0.104,0.248,0
TDM0166,0.007,0.159,0,0.008,0.007,0.024,0
KMUH0006,0.034,0.14,0.002,0.019,0.043,0.04,0
TDM0178,0.01,0.2,0.001,0.012,0.014,0.025,0
KMHK0006,0.06,0.318,0.004,0.077,0.095,0.085,0
KMUH0036,0.106,0.341,0.008,0.137,0.15,0.095,0
KMTH0001,0.018,0.148,0.002,0.018,0.02,0.071,0
KMUH0046,0.007,0.027,0,0.004,0.002,0.03,0
KMTH0004,0.077,0.34,0.006,0.096,0.119,0.1,0
